sourceKey,sourcePlayerId,externalId,name,displayName,position,nflTeam,yearsPro,statusCode,statusText,isRestricted,school,draftYear,overallPick,round,pickInRound,projectedNflTeam,projectedNflTeamAbbr,pickOwnerRaw,pickAcquiredFrom,isCompPick,source,sourceUrl,isFantasyPosition
mock-rookie-class-2026,2026-001-fernando-mendoza-qb,2026-001-fernando-mendoza-qb,Fernando Mendoza,Fernando Mendoza,QB,LV,0,ROOKIE,2026 rookie mock class,false,Indiana,2026,1,1,1,Las Vegas Raiders,LV,Las Vegas Raiders,,False,Draft Countdown 2026 NFL Mock Draft 7.0 (Brian),https://www.draftcountdown.com/nfl-mock-draft/2026-nfl-mock-draft-7-0-brian/,true
mock-rookie-class-2026,2026-002-arvell-reese-lb,2026-002-arvell-reese-lb,Arvell Reese,Arvell Reese,LB,NYJ,0,ROOKIE,2026 rookie mock class,false,Ohio State,2026,2,1,2,New York Jets,NYJ,New York Jets,,False,Draft Countdown 2026 NFL Mock Draft 7.0 (Brian),https://www.draftcountdown.com/nfl-mock-draft/2026-nfl-mock-draft-7-0-brian/,false
mock-rookie-class-2026,2026-003-francis-mauigoa-ot,2026-003-francis-mauigoa-ot,Francis Mauigoa,Francis Mauigoa,OT,ARI,0,ROOKIE,2026 rookie mock class,false,Miami (FL),2026,3,1,3,Arizona Cardinals,ARI,Arizona Cardinals,,False,Draft Countdown 2026 NFL Mock Draft 7.0 (Brian),https://www.draftcountdown.com/nfl-mock-draft/2026-nfl-mock-draft-7-0-brian/,false
mock-rookie-class-2026,2026-004-david-bailey-edge,2026-004-david-bailey-edge,David Bailey,David Bailey,EDGE,TEN,0,ROOKIE,2026 rookie mock class,false,Texas Tech,2026,4,1,4,Tennessee Titans,TEN,Tennessee Titans,,False,Draft Countdown 2026 NFL Mock Draft 7.0 (Brian),https://www.draftcountdown.com/nfl-mock-draft/2026-nfl-mock-draft-7-0-brian/,false
mock-rookie-class-2026,2026-005-sonny-styles-lb,2026-005-sonny-styles-lb,Sonny Styles,Sonny Styles,LB,NYG,0,ROOKIE,2026 rookie mock class,false,Ohio State,2026,5,1,5,New York Giants,NYG,New York Giants,,False,Draft Countdown 2026 NFL Mock Draft 7.0 (Brian),https://www.draftcountdown.com/nfl-mock-draft/2026-nfl-mock-draft-7-0-brian/,false
mock-rookie-class-2026,2026-006-makai-lemon-wr,2026-006-makai-lemon-wr,Makai Lemon,Makai Lemon,WR,CLE,0,ROOKIE,2026 rookie mock class,false,Southern Cal,2026,6,1,6,Cleveland Browns,CLE,Cleveland Browns,,False,Draft Countdown 2026 NFL Mock Draft 7.0 (Brian),https://www.draftcountdown.com/nfl-mock-draft/2026-nfl-mock-draft-7-0-brian/,true
mock-rookie-class-2026,2026-007-caleb-downs-s,2026-007-caleb-downs-s,Caleb Downs,Caleb Downs,S,WSH,0,ROOKIE,2026 rookie mock class,false,Ohio State,2026,7,1,7,Washington Commanders,WSH,Washington Commanders,,False,Draft Countdown 2026 NFL Mock Draft 7.0 (Brian),https://www.draftcountdown.com/nfl-mock-draft/2026-nfl-mock-draft-7-0-brian/,false
mock-rookie-class-2026,2026-008-carnell-tate-wr,2026-008-carnell-tate-wr,Carnell Tate,Carnell Tate,WR,NO,0,ROOKIE,2026 rookie mock class,false,Ohio State,2026,8,1,8,New Orleans Saints,NO,New Orleans Saints,,False,Draft Countdown 2026 NFL Mock Draft 7.0 (Brian),https://www.draftcountdown.com/nfl-mock-draft/2026-nfl-mock-draft-7-0-brian/,true
mock-rookie-class-2026,2026-009-mansoor-delane-cb,2026-009-mansoor-delane-cb,Mansoor Delane,Mansoor Delane,CB,KC,0,ROOKIE,2026 rookie mock class,false,LSU,2026,9,1,9,Kansas City Chiefs,KC,Kansas City Chiefs,,False,Draft Countdown 2026 NFL Mock Draft 7.0 (Brian),https://www.draftcountdown.com/nfl-mock-draft/2026-nfl-mock-draft-7-0-brian/,false
mock-rookie-class-2026,2026-010-rueben-bain-edge,2026-010-rueben-bain-edge,Rueben Bain,Rueben Bain,EDGE,CIN,0,ROOKIE,2026 rookie mock class,false,Miami (FL),2026,10,1,10,Cincinnati Bengals,CIN,Cincinnati Bengals,,False,Draft Countdown 2026 NFL Mock Draft 7.0 (Brian),https://www.draftcountdown.com/nfl-mock-draft/2026-nfl-mock-draft-7-0-brian/,false
mock-rookie-class-2026,2026-011-jermod-mccoy-cb,2026-011-jermod-mccoy-cb,Jermod McCoy,Jermod McCoy,CB,MIA,0,ROOKIE,2026 rookie mock class,false,Tennessee,2026,11,1,11,Miami Dolphins,MIA,Miami Dolphins,,False,Draft Countdown 2026 NFL Mock Draft 7.0 (Brian),https://www.draftcountdown.com/nfl-mock-draft/2026-nfl-mock-draft-7-0-brian/,false
mock-rookie-class-2026,2026-012-dillon-thieneman-s,2026-012-dillon-thieneman-s,Dillon Thieneman,Dillon Thieneman,S,DAL,0,ROOKIE,2026 rookie mock class,false,Oregon,2026,12,1,12,Dallas Cowboys,DAL,Dallas Cowboys,,False,Draft Countdown 2026 NFL Mock Draft 7.0 (Brian),https://www.draftcountdown.com/nfl-mock-draft/2026-nfl-mock-draft-7-0-brian/,false
mock-rookie-class-2026,2026-013-jeremiyah-love-rb,2026-013-jeremiyah-love-rb,Jeremiyah Love,Jeremiyah Love,RB,LAR,0,ROOKIE,2026 rookie mock class,false,Notre Dame,2026,13,1,13,Los Angeles Rams,LAR,Los Angeles Rams (F. ATL),Atlanta Falcons,False,Draft Countdown 2026 NFL Mock Draft 7.0 (Brian),https://www.draftcountdown.com/nfl-mock-draft/2026-nfl-mock-draft-7-0-brian/,true
mock-rookie-class-2026,2026-014-olaivavega-ioane-iol,2026-014-olaivavega-ioane-iol,Olaivavega Ioane,Olaivavega Ioane,IOL,BAL,0,ROOKIE,2026 rookie mock class,false,Penn State,2026,14,1,14,Baltimore Ravens,BAL,Baltimore Ravens,,False,Draft Countdown 2026 NFL Mock Draft 7.0 (Brian),https://www.draftcountdown.com/nfl-mock-draft/2026-nfl-mock-draft-7-0-brian/,false
mock-rookie-class-2026,2026-015-akheem-mesidor-edge,2026-015-akheem-mesidor-edge,Akheem Mesidor,Akheem Mesidor,EDGE,TB,0,ROOKIE,2026 rookie mock class,false,Miami (FL),2026,15,1,15,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,,False,Draft Countdown 2026 NFL Mock Draft 7.0 (Brian),https://www.draftcountdown.com/nfl-mock-draft/2026-nfl-mock-draft-7-0-brian/,false
mock-rookie-class-2026,2026-016-jordyn-tyson-wr,2026-016-jordyn-tyson-wr,Jordyn Tyson,Jordyn Tyson,WR,NYJ,0,ROOKIE,2026 rookie mock class,false,Arizona State,2026,16,1,16,New York Jets,NYJ,New York Jets (F. IND),Indianapolis Colts,False,Draft Countdown 2026 NFL Mock Draft 7.0 (Brian),https://www.draftcountdown.com/nfl-mock-draft/2026-nfl-mock-draft-7-0-brian/,true
